date,Liberty University,UVA,James Madison University,Virginia Commonwealth University,Virginia Tech,U Richmond,George Mason,Old dominion,Radford University,William and Mary,Shenandoah University,Washington and Lee University,Roanoke College,VMI
8/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/5/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/9/2020,0,0,0,0,0,3,0,0,0,0,0,1,0,0
8/10/2020,0,0,0,0,0,3,0,0,0,0,0,1,0,0
8/11/2020,0,0,0,0,0,3,0,0,0,0,0,1,0,0
8/12/2020,0,0,0,0,0,3,0,0,0,0,0,1,0,0
8/13/2020,0,0,0,0,0,3,0,0,0,0,0,1,0,0
8/14/2020,0,0,0,0,0,3,0,0,0,0,0,1,1,0
8/15/2020,0,0,0,0,0,3,0,0,0,0,0,1,1,0
8/16/2020,2,0,0,0,1,7,0,0,0,0,0,1,1,0
8/17/2020,3,4,1,0,0,7,0,0,0,0,9,1,1,0
8/18/2020,7,8,2,0,0,7,0,0,11,0,9,1,1,0
8/19/2020,7,11,3,0,0,7,0,0,11,0,9,2,1,0
8/20/2020,9,16,6,0,5,7,0,0,11,0,9,2,1,0
8/21/2020,10,19,10,0,8,7,0,0,11,0,9,2,26,0
8/22/2020,14,24,12,0,10,7,0,0,11,0,9,2,26,0
8/23/2020,18,26,13,69,16,7,0,0,11,0,9,2,26,0
8/24/2020,23,32,26,69,20,7,0,0,11,0,15,3,26,0
8/25/2020,26,34,47,69,21,7,0,0,98,0,15,3,26,0
8/26/2020,32,45,122,69,29,7,0,0,98,0,15,3,26,0
8/27/2020,42,68,191,69,67,7,0,0,98,0,15,3,26,0
8/28/2020,49,97,279,69,109,7,1,0,98,0,15,3,49,0
8/29/2020,53,113,331,69,173,7,1,0,98,0,15,3,49,0
8/30/2020,58,116,387,142,173,11,1,21,98,0,15,3,49,0
8/31/2020,68,124,525,142,219,11,1,21,98,0,17,3,49,0
9/1/2020,81,155,624,142,269,11,2,21,293,0,17,3,49,0
9/2/2020,96,174,661,142,353,11,2,21,293,0,17,3,49,2
9/3/2020,106,201,769,142,411,11,2,21,293,0,17,3,49,2
9/4/2020,121,219,874,198,485,11,5,21,293,0,17,3,51,2
9/5/2020,127,221,946,198,500,11,5,21,293,0,17,3,51,2
9/6/2020,130,227,1001,198,500,13,5,51,293,0,17,3,51,3
9/7/2020,142,231,1062,198,500,13,5,51,357,0,21,3,51,3
9/8/2020,166,257,1090,198,532,13,6,51,357,0,21,3,51,3
9/9/2020,179,282,1140,198,591,13,7,51,357,0,21,4,51,5
9/10/2020,203,321,1216,198,630,13,7,51,357,0,21,4,51,5
9/11/2020,216,345,1279,234,701,13,10,51,357,0,21,5,57,5
9/12/2020,237,364,1291,234,708,13,11,51,357,0,21,6,57,5
9/13/2020,247,369,1313,234,708,13,11,51,357,10,21,6,57,5
9/14/2020,281,373,1356,241,732,13,13,51,397,10,21,9,57,5
9/15/2020,306,378,1367,243,741,13,14,51,397,10,22,12,57,6
9/16/2020,341,430,1383,246,774,13,17,51,397,10,22,14,57,6
9/17/2020,364,489,1399,250,796,13,21,51,397,10,22,25,57,8
9/18/2020,384,539,1412,251,813,13,21,51,397,10,22,26,64,8
9/19/2020,388,554,1427,267,838,13,22,55,397,10,22,26,64,8
9/20/2020,406,561,1431,267,838,16,22,58,397,10,22,28,64,9
9/21/2020,429,570,1443,267,847,16,22,58,409,10,24,28,64,10
9/22/2020,453,585,1448,267,893,16,22,58,409,10,24,45,64,10
9/23/2020,481,607,1461,267,921,16,22,58,409,10,24,46,64,10
9/24/2020,503,648,1471,267,940,16,22,58,409,10,24,46,64,11
9/25/2020,518,689,1486,267,957,16,22,58,409,10,24,47,67,19
9/26/2020,528,712,1488,279,973,16,22,58,409,10,24,47,67,20
9/27/2020,539,729,1491,279,973,18,22,66,409,10,24,47,67,25
9/28/2020,546,733,1494,279,980,18,22,66,411,10,27,48,67,27
9/29/2020,556,778,1501,279,1005,18,22,66,411,10,27,51,67,28
9/30/2020,576,811,1508,279,1044,18,22,66,411,10,27,53,67,31
10/1/2020,584,840,1511,279,1063,18,22,66,411,10,27,54,67,37
10/2/2020,597,885,1513,279,1087,18,22,66,411,10,27,55,67,43
10/3/2020,606,895,1517,298,1091,18,22,66,411,10,27,56,67,47
10/4/2020,617,895,1519,298,1091,23,22,117,411,10,27,56,67,56
10/5/2020,625,913,1524,298,1097,23,24,117,413,10,30,57,67,59
10/6/2020,630,929,1524,298,1120,23,24,117,413,10,30,58,67,63
10/7/2020,650,948,1530,298,1153,23,24,117,430,10,30,62,67,69
10/8/2020,657,962,1537,298,1183,23,24,117,430,10,30,62,67,77
10/9/2020,666,977,1538,298,1213,23,24,117,430,10,30,62,68,78
